"codigo";"nivel";"descripcion"
576;"8222";"MEDICINA ALTERNATIVA"
577;"8223";"DROGA, TOXICOLOGIA"
578;"8224";"PEDIATRIA"
579;"8225";"INFORMATICA"
580;"0876";"NOVELA"
581;"0877";"CUENTOS, RELATOS"
582;"0878";"NOVELA ROMANTICA"
583;"1307";"MITOLOGIA"
584;"0526";"MODA"
585;"1308";"RELIGION"
586;"8008";"AUTOMOVILES"
587;"1106";"SALUD"
588;"8009";"SALUD Y BELLEZA"
589;"8010";"SEXUALIDAD"
590;"0631";"PSICOTERAPIA"
591;"091601";"PASATIEMPOS INFANTILES"
592;"0925";"JUVENIL"
593;"0490";"IDIOMAS GENERAL"
594;"1005";"TURISMO"
595;"1006";"MAPAS Y PLANOS TURISTICOS"
596;"1107";"ALIMENTACION"
597;"6008";"PASATIEMPOS"
598;"6009";"HUMOR"
599;"6010";"JUEGOS DE MESA"
600;"6011";"JUEGOS ROL"
601;"6012";"BRICOLAJE"
602;"8011";"ESOTERISMO"
603;"8012";"ASTROLOGIA"
604;"8013";"HOROSCOPOS"
605;"8014";"CAZA Y PESCA"
606;"0879";"INFANTIL Y JUVENIL"
607;"087901";"HASTA 3 AÑOS"
608;"087902";"DE 4 A 6 AÑOS"
609;"087903";"DE 7 A 9 AÑOS"
610;"087904";"DE 10 A 13 AÑOS"
611;"087905";"A PARTIR DE 14"
612;"087906";"ARTE PARA EMPEZAR"
613;"087907";"INFORMATIVOS"
614;"087908";"JUEGO DE MESA Y PASATIEMPOS"
615;"087909";"MOVILES Y SONIDOS"
616;"087910";"MANUALIDADES"
617;"087911";"POESIA PARA NIÑOS"
618;"087912";"TEATRO INFANTIL"
619;"087913";"INTERCULTURALIDAD"
620;"6013";"ACTIVIDADES CREATIVAS Y JUEGOS"
621;"087914";"CLASICOS PARA JOVENES"
622;"8226";"ECONOMIA"
623;"8227";"EMPRESA"
624;"8228";"PEDAGOGIA"
625;"0880";"CRITICA LITERARIA"
626;"0881";"ENSAYO"
627;"1309";"OTROS"
628;"0527";"OTROS"
629;"2001";"OTROS"
630;"0528";"OBRAS ARTISTICAS"
631;"052801";"PINTURA"
632;"052802";"GRABADO"
633;"052803";"ESCULTURA"
634;"052804";"FOTOGRAFIA"
635;"052805";"DIBUJO"
636;"084301";"NOVELAS"
637;"084302";"POLICÍA Y THRILLERS"
638;"084303";"ROMANCE"
639;"084304";"CIENCIA FICCÍON Y FANTASÍA"
640;"084305";"TEATRO Y POESÍA"
641;"084306";"LETRAS SUPERIORES"
642;"084307";"HISTORIAS Y VIAJES"
643;"084308";"PLEYADES"
644;"084309";"AUDIOLIBRO"
